Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
632d84166eb58b4504aad621,5d608398b1fd3000011f333d,AWAITING REVIEW,2022-09-23T10:02:01.576000Z,2022-09-23T10:19:53.083000Z,,2022-09-23T10:19:53.409514Z,1072,570EBDE7,6,0,100,34,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
632d857572af3812256dc1ef,60dcc8aa1cc3d203f1481e6c,AWAITING REVIEW,2022-09-23T10:08:00.192000Z,2022-09-23T10:35:06.301000Z,,2022-09-23T10:35:06.693599Z,1627,570EBDE7,4,0,100,29,Male,Black,South Africa,South Africa,South Africa,English,No,Part-Time
632d85e1ba7bd2db9dcd0c46,616a20144af71eaa541988ca,AWAITING REVIEW,2022-09-23T10:09:53.060000Z,2022-09-23T10:33:28.023000Z,,2022-09-23T10:33:28.469849Z,1415,570EBDE7,7,0,100,28,Male,Black,South Africa,South Africa,South Africa,Other,No,Unemployed (and job seeking)
632d881d5fbaf9a09241556d,6329c13285c93cafdf51ed77,AWAITING REVIEW,2022-09-23T10:19:12.767000Z,2022-09-23T10:38:00.036000Z,,2022-09-23T10:38:00.379111Z,1128,570EBDE7,5,0,100,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
632d95e1788414e550aad62a,632c673f8b99c86ac2fba537,AWAITING REVIEW,2022-09-23T11:25:37.417000Z,2022-09-23T11:56:18.791000Z,,2022-09-23T11:56:19.346422Z,1842,570EBDE7,5,0,100,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
632edf63067e30ace8b0d5eb,615f6ffab4df7fbe49038c33,RETURNED,2022-09-24T10:43:52.547000Z,2022-09-24T10:44:08.935000Z,,2022-09-24T10:44:09.363000Z,,615f6ffab4df7fbe49038c33,5,0,100,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
632edf6454b0ba7a80a03534,631f8164145b26de1567f040,APPROVED,2022-09-24T10:44:05.068000Z,2022-09-24T10:59:26.536000Z,2022-09-24T11:40:51.605000,2022-09-24T10:59:26.908237Z,922,570EBDE7,9,0,100,35,Prefer not to say,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
632edf6dd06e28863d57cf3d,631f70ff417ef35d65a3c5dc,APPROVED,2022-09-24T10:44:03.381000Z,2022-09-24T11:04:16.980000Z,2022-09-24T11:41:45.669000,2022-09-24T11:04:17.357618Z,1214,570EBDE7,12,0,100,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
632edfae1abd007defb0d60b,631a0fa1605e74fd0a253ccb,APPROVED,2022-09-24T10:45:07.145000Z,2022-09-24T11:03:19.868000Z,2022-09-24T11:41:20.652000,2022-09-24T11:03:20.272743Z,1093,570EBDE7,10,0,100,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
632edfb553a0b06bdfc99ad5,6320cb218f12dedba29b789d,APPROVED,2022-09-24T10:45:16.150000Z,2022-09-24T11:00:49.472000Z,2022-10-02T01:49:19.233000Z,2022-09-24T11:00:49.886000Z,934,FROG,15,2,94,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
632edfe997061c4faad13973,631b4221b4d71aa47e3856e2,AWAITING REVIEW,2022-09-24T10:46:03.589000Z,2022-09-24T10:59:01.576000Z,,2022-09-24T10:59:01.947661Z,778,570EBDE7,10,0,100,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
632ee06854b0ba7a80a03548,6139d0cdc1cc98b809470ae6,APPROVED,2022-09-24T10:48:14.785000Z,2022-09-24T11:50:27.705000Z,2022-09-27T01:22:52.594000,2022-09-24T11:50:28.790927Z,3733,570EBDE7,6,0,100,22,Male,Black,South Africa,South Africa,South Africa,English,Yes,Other
632ee1557b8b5c351ae33226,632b19a12e685b61f1ac6508,APPROVED,2022-09-24T10:52:27.889000Z,2022-09-24T11:07:38.184000Z,2022-09-24T11:41:55.969000,2022-09-24T11:07:38.626210Z,911,570EBDE7,3,0,100,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
